Time, Humidity
12:28:17,56.5
12:28:19,56.4
12:28:21,56.4
12:28:23,56.4
12:28:25,56.4
12:28:27,56.4
12:28:29,56.3
12:28:31,56.3
12:28:33,56.3
12:28:35,56.3
12:28:37,56.3
12:28:39,56.3
12:28:41,56.3
12:28:43,56.3
12:28:45,56.3
12:28:47,56.3
12:28:49,56.3
12:28:51,56.3
12:28:53,56.2
12:28:55,56.3
12:28:57,67.5
12:28:59,81.3
12:29:01,84.7
12:29:03,86.4
12:29:05,86.6
12:29:07,85.9
12:29:09,84.8
12:29:11,83.4
12:29:13,81.4
12:29:15,77.7
12:29:17,73.9
12:29:19,69.6
12:29:21,66.3
12:29:23,63.8
12:29:25,62.0
12:29:27,60.7
12:29:29,60.0
12:29:31,59.2
12:29:33,58.3
12:29:35,57.9
12:29:37,57.7
12:29:39,57.4
12:29:41,57.3
12:29:43,57.2
12:29:45,57.0
12:29:47,56.9
12:29:49,56.9
12:29:51,56.7
12:29:53,56.7
12:29:55,56.6
12:29:57,56.5
12:29:59,56.5
12:30:01,56.5
12:30:03,56.4
12:30:05,56.3
